rank,sample_index,abs_residual_motor_m,tau_meas,tau_pred,deg100_0,deg100_1,deg100_2,deg100_3,q0_rad,q1_rad,q2_rad,q3_rad,time
1,70,105.45500764419197,3.1356082474226787,-102.31939939676928,-4866.0,2380.0515463917527,-8411.0,-1610.2577319587629,-0.8492772140204409,0.4153973585171865,-1.4679964338524305,-0.2810429922837673,2026-03-26T20:15:42
2,69,82.99601152177738,3.1355700934579427,86.13158161523532,2848.0,2321.0,-8411.0,-1610.5794392523364,0.49706977096798505,0.4050909193878839,-1.4679964338524305,-0.2810991407987727,2026-03-26T20:14:53
3,73,49.87386222219516,4.0722577319587545,53.946119954153914,-12172.190721649484,3684.0,-8241.0,-1568.0,-2.1244480527348815,0.6429792964347111,-1.438325836568527,-0.2736676267127109,2026-03-26T20:17:41
4,71,44.04328458799021,3.1352731958762887,-40.90801139211392,-8287.530927835052,2406.0,-8411.0,-1610.0515463917525,-1.4464470155158224,0.4199262180298357,-1.4679964338524305,-0.2810070061136231,2026-03-26T20:16:10
5,72,30.90048181767544,1.9886288659793863,32.88911068365483,-10991.185567010309,3682.0,-8755.0,-1568.0,-1.9183237684200973,0.6426302305843121,-1.5280357601210355,-0.2736676267127109,2026-03-26T20:16:57
6,68,2.458160035473937,3.1343144329896893,5.592474468463626,324.69072164948375,2266.0,-8411.0,-1610.278350515464,0.05666922143459925,0.39549160850191506,-1.4679964338524305,-0.28104659090078177,2026-03-26T20:14:16
7,64,2.0802211639181056,-4.206298969072178,-2.1260778051540727,304.0,-2362.0,892.0,2057.0,0.05305800926062762,-0.41224676932106064,0.1556833692778942,0.35901422713523357,2026-03-26T20:10:53
8,65,2.0046023093032415,-2.885668393782391,-0.8810660844791496,305.8445595854919,88.0,711.0,2030.0,0.05337994564078817,0.0153588974175501,0.12409290981679684,0.3543018381548489,2026-03-26T20:11:20
9,60,1.7764869585670424,-4.994104166666672,-3.2176172080996293,297.88194444444525,-4321.451388888889,2401.597222222222,2072.0208333333335,0.051990207127984,-0.7542355520099301,0.41915778834527706,0.36163585711583346,2026-03-26T20:08:06
10,67,1.7758621546345967,3.134160621761654,4.910022776396251,323.0,799.0,-8411.0,-1597.0518134715026,0.05637413483941684,0.13945180723434694,-1.4679964338524305,-0.2787381247002405,2026-03-26T20:13:44
11,28,1.317550106454303,4.24665284974092,2.9291027432866175,330.0,4849.0,-1263.896373056995,-5893.637305699482,0.05759586531581288,0.8463101542920505,-0.22059153113859112,-1.0286337590282353,2026-03-26T19:45:57
12,29,1.237777702343552,4.245999999999988,3.008222297656436,330.0,4854.0,-1263.659793814433,-7458.845360824742,0.05759586531581288,0.8471828189180476,-0.22055024027134532,-1.3018140994349623,2026-03-26T19:46:16
13,42,1.2294451910350546,2.0464137931034405,3.275858984138495,329.8965517241377,3503.0,-4364.0,-7172.624137931034,0.057577810185619784,0.6113888369736137,-0.7616616855703254,-1.2518590721491645,2026-03-26T19:53:37
14,33,1.2112631706280923,2.212953608247422,3.4242167788755142,328.0,6611.0,-984.0,-7323.0,0.057246799465414014,1.1538371684934512,-0.17174039839624203,-1.2781046112354475,2026-03-26T19:48:47
15,21,1.1403515630699061,4.1243854166666765,5.264736979736583,323.0,948.0,-9148.0,-2244.2708333333335,0.05637413483941684,0.16545721308906244,-1.5966271997244128,-0.39169915348143575,2026-03-26T19:42:29
16,0,1.0552197051844732,2.3054300518134614,3.3606497569979346,306.0,-8922.0,-17897.0,-2266.8497409326424,0.053407075111026485,-1.5571827586293407,-3.1236157622942518,-0.39563991627255085,2026-03-26T19:33:49
17,30,1.0043487811945742,3.9940824742268006,2.9897336930322265,329.8453608247419,4858.0,-1229.0,-10674.051546391753,0.05756887568820465,0.8478809506188453,-0.2145009650701031,-1.8629734401212836,2026-03-26T19:46:39
18,45,1.0000258311339763,3.997185567010307,2.997159735876331,325.0,-59.0,-6930.0,-9022.0,0.05672320068981571,-0.010297442586766544,-1.2095131716320704,-1.574636051149284,2026-03-26T19:56:45
19,51,0.9872438131772983,-2.25,-1.2627561868227017,301.0,-5103.0,-1675.0,-11.0,0.052534410485029326,-0.8906415172927064,-0.2923426497090502,-0.0019198621771937625,2026-03-26T20:00:01
20,39,0.8630066770057465,1.9119536082474222,2.7749602852531687,328.0,5103.0,256.0,-6243.922680412371,0.057246799465414014,0.8906415172927064,0.04468042885105484,-1.0897700901314553,2026-03-26T19:52:10
